method,technical_deficit_mean,technical_deficit_std,skill_redundancy_avg_mean,skill_redundancy_avg_std,academic_imbalance_mean,academic_imbalance_std,diversity_mean,diversity_std,technical_feasibility_mean,technical_feasibility_std,runtime_ms_mean,runtime_ms_std
Random,7.125,1.8203234839464375,0.6656475548523323,0.03254352587808276,1.098776397937878,0.8906655073811071,0.5708333333333332,0.02925888541074195,84.3576388888889,4.171241402248785,0.02865332644432783,0.007426567710769122
Greedy,6.916666666666667,1.8221971075738688,0.6620220533339201,0.035499122243703274,1.3173941151465274,1.5825345685726933,0.562037037037037,0.036058267652496145,85.02893518518518,3.975364601892866,0.381673298155268,0.05148893125643004
NSGA-II,6.6,1.8541658594858115,0.6370574918122973,0.03659569820550799,0.37949741462488645,0.4185177436101461,0.6194444444444446,0.023240556292613183,85.8622685185185,4.041997492802105,479.62520331299555,24.04612685302979
