run,seed,method,technical_deficit,skill_redundancy_total,skill_redundancy_avg,academic_imbalance,diversity,technical_feasibility,runtime_ms,pareto_front_size
1,42,Random,6.75,2.0958546978119736,0.6986182326039913,1.0854779350152564,0.75,84.89583333333333,0.030499882996082306,
1,42,Greedy,6.25,2.016174643484666,0.6720582144948887,0.09087256453090553,0.75,86.1111111111111,0.4133000038564205,
1,42,NSGA-II,6.25,1.9412536942120031,0.6470845647373343,0.015022262565455295,0.75,86.1111111111111,395.87470004335046,18.0
2,43,Random,8.5,1.8045476619881735,0.6015158873293912,1.891089304916224,0.75,80.55555555555556,0.029099872335791588,
2,43,Greedy,7.5,1.7971617156330635,0.5990539052110212,0.6438330169969251,0.75,84.375,0.4296000115573406,
2,43,NSGA-II,7.5,1.7308690280313601,0.57695634267712,0.07116546020632895,0.75,84.375,422.917100135237,32.0
3,44,Random,5.0,2.083025358359742,0.694341786119914,1.27090621765112,0.75,88.71527777777777,0.025499844923615456,
3,44,Greedy,5.5,2.023599189105537,0.674533063035179,1.1049925960241025,0.75,87.6736111111111,0.3659999929368496,
3,44,NSGA-II,5.0,1.9987814110846538,0.6662604703615512,0.41308971374160636,0.75,88.71527777777779,475.966100115329,39.0
4,45,Random,6.5,1.926809047459244,0.6422696824864147,2.539047618979465,0.7083333333333334,86.28472222222221,0.031299889087677,
4,45,Greedy,6.5,1.9434636007791422,0.647821200259714,0.3282490563805267,0.75,85.9375,0.5522998981177807,
4,45,NSGA-II,5.75,1.9130180925436617,0.6376726975145539,0.16766156367116816,0.75,88.02083333333333,438.2204001303762,42.0
5,46,Random,8.25,2.0887618199596516,0.6962539399865505,3.4539133682976377,0.75,81.4236111111111,0.030199997127056122,
5,46,Greedy,6.75,2.019279047505793,0.6730930158352644,1.237510296677,0.75,85.41666666666667,0.4048999398946762,
5,46,NSGA-II,6.75,1.975610974056126,0.658536991352042,0.02172998040461809,0.75,85.41666666666667,385.3986000176519,27.0
